language,iso2,iso3,flores200,bcp47,microsoft_translator,google_translator,nllb,seamless_m4t,madlad_400,translategemma,gpt,deepseek
Sinte Romani,,rmo,,rmo,0,0,0,0,0,0,1,1
Cacua,,cbv,,cbv,0,0,0,0,0,0,1,1
Wipi,,gdr,,gdr,0,0,0,0,0,0,1,1
Merey,,meq,,meq,0,0,0,0,0,0,1,1
Eastern Karaboro,,xrb,,xrb,0,0,0,0,0,0,1,1
Bissa,,bib,,bib,0,0,0,0,0,0,1,1
Natügu,,ntu,,ntu,0,0,0,0,0,0,1,1
Meyah,,mej,,mej,0,0,0,0,0,0,1,1
Basa (Cameroon),,bas,,bas,0,0,0,0,0,0,1,1
Macuna,,myy,,myy,0,0,0,0,0,0,1,1
Iwal,,kbm,,kbm,0,0,0,0,0,0,1,1
Selepet,,spl,,spl,0,0,0,0,0,0,1,1
Vaiphei,,vap,,vap,0,0,0,0,0,0,1,1
Northern Grebo,,gbo,,gbo,0,0,0,0,0,0,1,1
Kunimaipa,,kup,,kup,0,0,0,0,0,0,1,1
Mangseng,,mbh,,mbh,0,0,0,0,0,0,1,1
Garrwa,,wrk,,wrk,0,0,0,0,0,0,1,1
Kupang Malay,,mkn,,mkn,0,0,0,0,0,0,1,1
Mwaghavul,,sur,,sur,0,0,0,0,0,0,1,1
Desano,,des,,des,0,0,0,0,0,0,1,1
Kuwaa,,blh,,blh,0,0,0,0,0,0,1,1
Carrier,,crx,,crx,0,0,0,0,0,0,1,1
Paicî,,pri,,pri,0,0,0,0,0,0,1,1
Oksapmin,,opm,,opm,0,0,0,0,0,0,1,1
Zaiwa,,atb,,atb,0,0,0,0,0,0,1,1
Akha,,ahk,,ahk,0,0,0,0,0,0,1,1
Lamba,,lam,,lam,0,0,0,0,0,0,1,1
Kamwe,,hig,,hig,0,0,0,0,0,0,1,1
Akoose,,bss,,bss,0,0,0,0,0,0,1,1
Deg,,mzw,,mzw,0,0,0,0,0,0,1,1
Bafut,,bfd,,bfd,0,0,0,0,0,0,1,1
Kimré,,kqp,,kqp,0,0,0,0,0,0,1,1
Sasak,,sas,,sas,0,0,0,0,0,0,1,1
Jamiltepec Mixtec,,mxt,,mxt,0,0,0,0,0,0,1,1
Minica Huitoto,,hto,,hto,0,0,0,0,0,0,1,1
Eastern Bolivian Guaraní,,gui,,gui,0,0,0,0,0,0,1,1
Waskia,,wsk,,wsk,0,0,0,0,0,0,1,1
Ama (Papua New Guinea),,amm,,amm,0,0,0,0,0,0,1,1
Nobonob,,gaw,,gaw,0,0,0,0,0,0,1,1
Southern Birifor,,biv,,biv,0,0,0,0,0,0,1,1
Ajië,,aji,,aji,0,0,0,0,0,0,1,1
Hanga Hundi,,wos,,wos,0,0,0,0,0,0,1,1
Gapapaiwa,,pwg,,pwg,0,0,0,0,0,0,1,1
Takuu,,nho,,nho,0,0,0,0,0,0,1,1
Supyire Senoufo,,spp,,spp,0,0,0,0,0,0,1,1
Peñoles Mixtec,,mil,,mil,0,0,0,0,0,0,1,1
Itawit,,itv,,itv,0,0,0,0,0,0,1,1
Delo,,ntr,,ntr,0,0,0,0,0,0,1,1
Tucano,,tuo,,tuo,0,0,0,0,0,0,1,1
Santa Teresa Cora,,cok,,cok,0,0,0,0,0,0,1,1
Odoodee,,kkc,,kkc,0,0,0,0,0,0,1,1
Southeast Ambrym,,tvk,,tvk,0,0,0,0,0,0,1,1
Bawm Chin,,bgr,,bgr,0,0,0,0,0,0,1,1
Candoshi-Shapra,,cbu,,cbu,0,0,0,0,0,0,1,1
Lambayeque Quechua,,quf,,quf,0,0,0,0,0,0,1,1
Angaataha,,agm,,agm,0,0,0,0,0,0,1,1
Lowland Tarahumara,,tac,,tac,0,0,0,0,0,0,1,1
Comaltepec Chinantec,,cco,,cco,0,0,0,0,0,0,1,1
Iraqw,,irk,,irk,0,0,0,0,0,0,1,1
Manam,,mva,,mva,0,0,0,0,0,0,1,1
Mangga Buang,,mmo,,mmo,0,0,0,0,0,0,1,1
Tungag,,lcm,,lcm,0,0,0,0,0,0,1,1
Lampung Api,,ljp,,ljp,0,0,0,0,0,0,1,1
Northern Dagara,,dgi,,dgi,0,0,0,0,0,0,1,1
Tuma-Irumu,,iou,,iou,0,0,0,0,0,0,1,1
Kwanga,,kwj,,kwj,0,0,0,0,0,0,1,1
Panao Huánuco Quechua,,qxh,,qxh,0,0,0,0,0,0,1,1
Nafaanra,,nfr,,nfr,0,0,0,0,0,0,1,1
Kanasi,,soq,,soq,0,0,0,0,0,0,1,1
Botolan Sambal,,sbl,,sbl,0,0,0,0,0,0,1,1
Kosena,,kze,,kze,0,0,0,0,0,0,1,1
Tifal,,tif,,tif,0,0,0,0,0,0,1,1
Borong,,ksr,,ksr,0,0,0,0,0,0,1,1
West Kewa,,kew,,kew,0,0,0,0,0,0,1,1
Gamo,,gmv,,gmv,0,0,0,0,0,0,1,1
Kamasau,,kms,,kms,0,0,0,0,0,0,1,1
Mag-antsi Ayta,,sgb,,sgb,0,0,0,0,0,0,1,1
Olo,,ong,,ong,0,0,0,0,0,0,1,1
Highland Oaxaca Chontal,,chd,,chd,0,0,0,0,0,0,1,1
Ozumacín Chinantec,,chz,,chz,0,0,0,0,0,0,1,1
Paumarí,,pad,,pad,0,0,0,0,0,0,1,1
Termanu,,twu,,twu,0,0,0,0,0,0,1,1
Highland Totonac,,tos,,tos,0,0,0,0,0,0,1,1
Cashinahua,,cbs,,cbs,0,0,0,0,0,0,1,1
Piratapuyo,,pir,,pir,0,0,0,0,0,0,1,1
Gude,,gde,,gde,0,0,0,0,0,0,1,1
Guajajára,,gub,,gub,0,0,0,0,0,0,1,1
Kuranko,,knk,,knk,0,0,0,0,0,0,1,1
Ubir,,ubr,,ubr,0,0,0,0,0,0,1,1
Mauwake,,mhl,,mhl,0,0,0,0,0,0,1,1
Dangaura Tharu,,thl,,thl,0,0,0,0,0,0,1,1
Auhelawa,,kud,,kud,0,0,0,0,0,0,1,1
Mengen,,mee,,mee,0,0,0,0,0,0,1,1
Ramoaaina,,rai,,rai,0,0,0,0,0,0,1,1
Tezoatlán Mixtec,,mxb,,mxb,0,0,0,0,0,0,1,1
Purepecha,,tsz,,tsz,0,0,0,0,0,0,1,1
Chiquitano,,cax,,cax,0,0,0,0,0,0,1,1
Lelemi,,lef,,lef,0,0,0,0,0,0,1,1
Kandas,,kqw,,kqw,0,0,0,0,0,0,1,1
Waimaha,,bao,,bao,0,0,0,0,0,0,1,1
Eastern Tamang,,taj,,taj,0,0,0,0,0,0,1,1
Yau (Morobe Province),,yuw,,yuw,0,0,0,0,0,0,1,1
Vunjo,,vun,,vun,0,0,0,0,0,0,1,1
Iyo,,nca,,nca,0,0,0,0,0,0,1,1
Aguaruna,,agr,,agr,0,0,0,0,0,0,1,1
Balantak,,blz,,blz,0,0,0,0,0,0,1,1
Yao,,yao,,yao,0,0,0,0,0,0,1,1
Maru,,mhx,,mhx,0,0,0,0,0,0,1,1
Gulay,,gvl,,gvl,0,0,0,0,0,0,1,1
Male (Ethiopia),,mdy,,mdy,0,0,0,0,0,0,1,1
Isnag,,isd,,isd,0,0,0,0,0,0,1,1
Luang,,lex,,lex,0,0,0,0,0,0,1,1
Bwanabwana,,tte,,tte,0,0,0,0,0,0,1,1
Sabaot,,spy,,spy,0,0,0,0,0,0,1,1
Golin,,gvf,,gvf,0,0,0,0,0,0,1,1
Urarina,,ura,,ura,0,0,0,0,0,0,1,1
Mekeo,,mek,,mek,0,0,0,0,0,0,1,1
Folopa,,ppo,,ppo,0,0,0,0,0,0,1,1
Napu,,npy,,npy,0,0,0,0,0,0,1,1
Koronadal Blaan,,bpr,,bpr,0,0,0,0,0,0,1,1
Uri,,uvh,,uvh,0,0,0,0,0,0,1,1
Angguruk Yali,,yli,,yli,0,0,0,0,0,0,1,1
Toro So Dogon,,dts,,dts,0,0,0,0,0,0,1,1
East Kewa,,kjs,,kjs,0,0,0,0,0,0,1,1
Tabaru,,tby,,tby,0,0,0,0,0,0,1,1
Muinane,,bmr,,bmr,0,0,0,0,0,0,1,1
Lealao Chinantec,,cle,,cle,0,0,0,0,0,0,1,1
Kwoma,,kmo,,kmo,0,0,0,0,0,0,1,1
Izere,,izr,,izr,0,0,0,0,0,0,1,1
Inuinnaqtun,,ikt,,ikt,0,0,0,0,0,0,1,1
West-Central Limba,,lia,,lia,0,0,0,0,0,0,1,1
Tlachichilco Tepehua,,tpt,,tpt,0,0,0,0,0,0,1,1
Molima,,mox,,mox,0,0,0,0,0,0,1,1
Kusaal,,kus,,kus,0,0,0,0,0,0,1,1
Faiwol,,fai,,fai,0,0,0,0,0,0,1,1
Xaasongaxango,,kao,,kao,0,0,0,0,0,0,1,1
Alyawarr,,aly,,aly,0,0,0,0,0,0,1,1
Nyemba,,nba,,nba,0,0,0,0,0,0,1,1
Lachixío Zapotec,,zpl,,zpl,0,0,0,0,0,0,1,1
Sochiapam Chinantec,,cso,,cso,0,0,0,0,0,0,1,1
Kuwaataay,,cwt,,cwt,0,0,0,0,0,0,1,1
Naro,,nhr,,nhr,0,0,0,0,0,0,1,1
Tswa,,tsc,,tsc,0,0,0,0,0,0,1,1
Biangai,,big,,big,0,0,0,0,0,0,1,1
Ocotlán Zapotec,,zac,,zac,0,0,0,0,0,0,1,1
Ntcham,,bud,,bud,0,0,0,0,0,0,1,1
Aghul,,agx,,agx,0,0,0,0,0,0,1,1
Waris,,wrs,,wrs,0,0,0,0,0,0,1,1
Kukele,,kez,,kez,0,0,0,0,0,0,1,1
Rotokas,,roo,,roo,0,0,0,0,0,0,1,1
Makasar,,mak,,mak,0,0,0,0,1,0,1,1
Ayautla Mazatec,,vmy,,vmy,0,0,0,0,0,0,1,1
Awa-Cuaiquer,,kwi,,kwi,0,0,0,0,0,0,1,1
Keapara,,khz,,khz,0,0,0,0,0,0,1,1
Nehan,,nsn,,nsn,0,0,0,0,0,0,1,1
Buhid,,bku,,bku,0,0,0,0,0,0,1,1
Chol,,ctu,,ctu,0,0,0,0,0,0,1,1
Sinaugoro,,snc,,snc,0,0,0,0,0,0,1,1
Uspanteco,,usp,,usp,0,0,0,0,0,0,1,1
Hanga,,hag,,hag,0,0,0,0,0,0,1,1
Wichí Lhamtés Nocten,,mtp,,mtp,0,0,0,0,0,0,1,1
Usila Chinantec,,cuc,,cuc,0,0,0,0,0,0,1,1
Gofa,,gof,,gof,0,0,0,0,0,0,1,1
Palantla Chinantec,,cpa,,cpa,0,0,0,0,0,0,1,1
Luvale,,lue,,lue,0,0,0,0,0,0,1,1
Saliba,,sbe,,sbe,0,0,0,0,0,0,1,1
Gorontalo,,gor,,gor,0,0,0,0,0,0,1,1
Au,,avt,,avt,0,0,0,0,0,0,1,1
South Fali,,fal,,fal,0,0,0,0,0,0,1,1
Jola-Fonyi,,dyo,,dyo,0,0,0,0,0,0,1,1
Suau,,swp,,swp,0,0,0,0,0,0,1,1
Southern Pastaza Quechua,,qup,,qup,0,0,0,0,0,0,1,1
Arop-Lokep,,apr,,apr,0,0,0,0,0,0,1,1
Lacandon,,lac,,lac,0,0,0,0,0,0,1,1
Sukuma,,suk,,suk,0,0,0,0,0,0,1,1
Salt-Yui,,sll,,sll,0,0,0,0,0,0,1,1
Wuvulu-Aua,,wuv,,wuv,0,0,0,0,0,0,1,1
Xavánte,,xav,,xav,0,0,0,0,0,0,1,1
Markweeta,,enb,,enb,0,0,0,0,0,0,1,1
Kanite,,kmu,,kmu,0,0,0,0,0,0,1,1
Huallaga Huánuco Quechua,,qub,,qub,0,0,0,0,0,0,1,1
Bishnupriya,,bpy,,bpy,0,0,0,0,0,0,1,1
Yopno,,yut,,yut,0,0,0,0,0,0,1,1
Cabécar,,cjp,,cjp,0,0,0,0,0,0,1,1
Sa'a,,apb,,apb,0,0,0,0,0,0,1,1
Dawro,,dwr,,dwr,0,0,0,0,0,0,1,1
Biak,,bhw,,bhw,0,0,0,0,0,0,1,1
Umanakaina,,gdn,,gdn,0,0,0,0,0,0,1,1
Kayabí,,kyz,,kyz,0,0,0,0,0,0,1,1
Guahibo,,guh,,guh,0,0,0,0,0,0,1,1
Yareba,,yrb,,yrb,0,0,0,0,0,0,1,1
Orokaiva,,okv,,okv,0,0,0,0,0,0,1,1
Trinitario,,trn,,trn,0,0,0,0,0,0,1,1
Saraiki,,skr,,skr,0,0,0,0,0,0,1,1
Northern Tlaxiaco Mixtec,,xtn,,xtn,0,0,0,0,0,0,1,1
Galibi Carib,,car,,car,0,0,0,0,0,0,1,1
Siroi,,ssd,,ssd,0,0,0,0,0,0,1,1
Alune,,alp,,alp,0,0,0,0,0,0,1,1
Mitla Zapotec,,zaw,,zaw,0,0,0,0,0,0,1,1
Zacatlán-Ahuacatlán-Tepetzintla Nahuatl,,nhi,,nhi,0,0,0,0,0,0,1,1
Kwaio,,kwd,,kwd,0,0,0,0,0,0,1,1
Nabak,,naf,,naf,0,0,0,0,0,0,1,1
Tangoa,,tgp,,tgp,0,0,0,0,0,0,1,1
Tepetotutla Chinantec,,cnt,,cnt,0,0,0,0,0,0,1,1
Tharaka,,thk,,thk,0,0,0,0,0,0,1,1
Northern Emberá,,emp,,emp,0,0,0,0,0,0,1,1
Quioquitani-Quierí Zapotec,,ztq,,ztq,0,0,0,0,0,0,1,1
Parecís,,pab,,pab,0,0,0,0,0,0,1,1
Gogo,,gog,,gog,0,0,0,0,0,0,1,1
Northwestern Ojibwa,,ojb,,ojb,0,0,0,0,0,0,1,1
Muyuw,,myw,,myw,0,0,0,0,0,0,1,1
Hehe,,heh,,heh,0,0,0,0,0,0,1,1
Awiyaana,,auy,,auy,0,0,0,0,0,0,1,1
Sursurunga,,sgz,,sgz,0,0,0,0,0,0,1,1
Mabaan,,mfz,,mfz,0,0,0,0,0,0,1,1
Yosondúa Mixtec,,mpm,,mpm,0,0,0,0,0,0,1,1
Amanab,,amn,,amn,0,0,0,0,0,0,1,1
Cuiba,,cui,,cui,0,0,0,0,0,0,1,1
Wayuu,,guc,,guc,0,0,0,0,0,0,1,1
Kafa,,kbr,,kbr,0,0,0,0,0,0,1,1
Wik-Mungkan,,wim,,wim,0,0,0,0,0,0,1,1
Western Niger Fulfulde,,fuh,,fuh,0,0,0,0,0,0,1,1
Gitonga,,toh,,toh,0,0,0,0,0,0,1,1
Chamacoco,,ceg,,ceg,0,0,0,0,0,0,1,1
Kuman (Papua New Guinea),,kue,,kue,0,0,0,0,0,0,1,1
Pamplona Atta,,att,,att,0,0,0,0,0,0,1,1
North Junín Quechua,,qvn,,qvn,0,0,0,0,0,0,1,1
Usan,,wnu,,wnu,0,0,0,0,0,0,1,1
Kupsabiny,,kpz,,kpz,0,0,0,0,0,0,1,1
Inga,,inb,,inb,0,0,0,0,0,0,1,1
Inoke-Yate,,ino,,ino,0,0,0,0,0,0,1,1
Kakwa,,keo,,keo,0,0,0,0,0,0,1,1
Anufo,,cko,,cko,0,0,0,0,0,0,1,1
Safeyoka,,apz,,apz,0,0,0,0,0,0,1,1
Borei,,gai,,gai,0,0,0,0,0,0,1,1
Sea Island Creole English,,gul,,gul,0,0,0,0,0,0,1,1
South Tairora,,omw,,omw,0,0,0,0,0,0,1,1
Fanamaket,,bjp,,bjp,0,0,0,0,0,0,1,1
Ngangam,,gng,,gng,0,0,0,0,0,0,1,1
Buglere,,sab,,sab,0,0,0,0,0,0,1,1
Huaylla Wanca Quechua,,qvw,,qvw,0,0,0,0,0,0,1,1
Patep,,ptp,,ptp,0,0,0,0,0,0,1,1
Batad Ifugao,,ifb,,ifb,0,0,0,0,0,0,1,1
Southwest Gbaya,,gso,,gso,0,0,0,0,0,0,1,1
Siwu,,akp,,akp,0,0,0,0,0,0,1,1
Woun Meu,,noa,,noa,0,0,0,0,0,0,1,1
Tena Lowland Quichua,,quw,,quw,0,0,0,0,0,0,1,1
Ewage-Notu,,nou,,nou,0,0,0,0,0,0,1,1
Maiwa (Papua New Guinea),,mti,,mti,0,0,0,0,0,0,1,1
Koreguaje,,coe,,coe,0,0,0,0,0,0,1,1
Juquila Mixe,,mxq,,mxq,0,0,0,0,0,0,1,1
Mentawai,,mwv,,mwv,0,0,0,0,0,0,1,1
Khoekhoe,,naq,,naq,0,0,0,0,0,0,1,1
Mankanya,,knf,,knf,0,0,0,0,0,0,1,1
Benabena,,bef,,bef,0,0,0,0,0,0,1,1
Arosi,,aia,,aia,0,0,0,0,0,0,1,1
Wantoat,,wnc,,wnc,0,0,0,0,0,0,1,1
San Martín Quechua,,qvs,,qvs,0,0,0,0,0,0,1,1
Tenharim,,pah,,pah,0,0,0,0,0,0,1,1
Atayal,,tay,,tay,0,0,0,0,0,0,1,1
Seimat,,ssg,,ssg,0,0,0,0,0,0,1,1
Rotuman,,rtm,,rtm,0,0,0,0,0,0,1,1
Malvi,,mup,,mup,0,0,0,0,0,0,1,1
Casiguran Dumagat Agta,,dgc,,dgc,0,0,0,0,0,0,1,1
Lole,,llg,,llg,0,0,0,0,0,0,1,1
Hote,,hot,,hot,0,0,0,0,0,0,1,1
Mbyá Guaraní,,gun,,gun,0,0,0,0,0,0,1,1
Tereno,,ter,,ter,0,0,0,0,0,0,1,1
Mountain Koiali,,kpx,,kpx,0,0,0,0,0,0,1,1
Huamalíes-Dos de Mayo Huánuco Quechua,,qvh,,qvh,0,0,0,0,0,0,1,1
Lomwe,,ngl,,ngl,0,0,0,0,0,0,1,1
Algonquin,,alq,,alq,0,0,0,0,0,0,1,1
Waima,,rro,,rro,0,0,0,0,0,0,1,1
Wiru,,wiu,,wiu,0,0,0,0,0,0,1,1
Weri,,wer,,wer,0,0,0,0,0,0,1,1
South Ucayali Ashéninka,,cpy,,cpy,0,0,0,0,0,0,1,1
Imbabura Highland Quichua,,qvi,,qvi,0,0,0,0,0,0,1,1
Kandawo,,gam,,gam,0,0,0,0,0,0,1,1
Southern Kisi,,kss,,kss,0,0,0,0,0,0,1,1
Komba,,kpf,,kpf,0,0,0,0,0,0,1,1
Sepik Iwam,,iws,,iws,0,0,0,0,0,0,1,1
Ilianen Manobo,,mbi,,mbi,0,0,0,0,0,0,1,1
Anindilyakwa,,aoi,,aoi,0,0,0,0,0,0,1,1
Tabaa Zapotec,,zat,,zat,0,0,0,0,0,0,1,1
Mamanwa,,mmn,,mmn,0,0,0,0,0,0,1,1
Uduk,,udu,,udu,0,0,0,0,0,0,1,1
Mi'kmaq,,mic,,mic,0,0,0,0,0,0,1,1
Helong,,heg,,heg,0,0,0,0,0,0,1,1
Kwamera,,tnk,,tnk,0,0,0,0,0,0,1,1
Mbula,,mna,,mna,0,0,0,0,0,0,1,1
Bughotu,,bgt,,bgt,0,0,0,0,0,0,1,1
Duala,,dua,,dua,0,0,0,0,0,0,1,1
Haya,,hay,,hay,0,0,0,0,0,0,1,1
Bisu,,bzi,,bzi,0,0,0,0,0,0,1,1
Chuwabu,,chw,,chw,0,0,0,0,0,0,1,1
North Mesopotamian Arabic,,ayp,,ayp,0,0,0,0,0,0,1,1
Kouya,,kyf,,kyf,0,0,0,0,0,0,1,1
Garo,,grt,,grt,0,0,0,0,0,0,1,1
Pa'o Karen,,blk,,blk,0,0,0,0,0,0,1,1
Margos-Yarowilca-Lauricocha Quechua,,qvm,,qvm,0,0,0,0,0,0,1,1
Tataltepec Chatino,,cta,,cta,0,0,0,0,0,0,1,1
Whitesands,,tnp,,tnp,0,0,0,0,0,0,1,1
Keyagana,,kyg,,kyg,0,0,0,0,0,0,1,1
Tawala,,tbo,,tbo,0,0,0,0,0,0,1,1
Eastern Highland Otomi,,otm,,otm,0,0,0,0,0,0,1,1
Usarufa,,usa,,usa,0,0,0,0,0,0,1,1
Northern Pastaza Quichua,,qvz,,qvz,0,0,0,0,0,0,1,1
Baka (South Sudan),,bdh,,bdh,0,0,0,0,0,0,1,1
Label,,lbb,,lbb,0,0,0,0,0,0,1,1
Bokobaru,,bus,,bus,0,0,0,0,0,0,1,1
Zigula,,ziw,,ziw,0,0,0,0,0,0,1,1
Northern Thai,,nod,,nod,0,0,0,0,0,0,1,1
Dela-Oenale,,row,,row,0,0,0,0,0,0,1,1
Kilivila,,kij,,kij,0,0,0,0,0,0,1,1
Bimoba,,bim,,bim,0,0,0,0,0,0,1,1
Northwest Alaska Inupiatun,,esk,,esk,0,0,0,0,0,0,1,1
Antankarana Malagasy,,xmv,,xmv,0,0,0,0,0,0,1,1
Lewo,,lww,,lww,0,0,0,0,0,0,1,1
Huautla Mazatec,,mau,,mau,0,0,0,0,0,0,1,1
Angal Heneng,,akh,,akh,0,0,0,0,0,0,1,1
Murle,,mur,,mur,0,0,0,0,0,0,1,1
Mussau-Emira,,emi,,emi,0,0,0,0,0,0,1,1
Batak Angkola,,akb,,akb,0,0,0,0,0,0,1,1
Maca,,mca,,mca,0,0,0,0,0,0,1,1
Enga,,enq,,enq,0,0,0,0,0,0,1,1
Southern Carrier,,caf,,caf,0,0,0,0,0,0,1,1
Chipaya,,cap,,cap,0,0,0,0,0,0,1,1
Chichicapan Zapotec,,zpv,,zpv,0,0,0,0,0,0,1,1
Tabasco Chontal,,chf,,chf,0,0,0,0,0,0,1,1
Iatmul,,ian,,ian,0,0,0,0,0,0,1,1
Noon,,snf,,snf,0,0,0,0,0,0,1,1
Saamia,,lsm,,lsm,0,0,0,0,0,0,1,1
Kagulu,,kki,,kki,0,0,0,0,0,0,1,1
Kombio,,xbi,,xbi,0,0,0,0,0,0,1,1
Tetela,,tll,,tll,0,0,0,0,0,0,1,1
Tagabawa,,bgs,,bgs,0,0,0,0,0,0,1,1
Shuar,,jiv,,jiv,0,0,0,0,0,0,1,1
Nunggubuyu,,nuy,,nuy,0,0,0,0,0,0,1,1
Huichol,,hch,,hch,0,0,0,0,0,0,1,1
Timbe,,tim,,tim,0,0,0,0,0,0,1,1
Tii,,txq,,txq,0,0,0,0,0,0,1,1
Kaingang,,kgp,,kgp,0,0,0,0,0,0,1,1
Maxakalí,,mbl,,mbl,0,0,0,0,0,0,1,1
Eastern Apurímac Quechua,,qve,,qve,0,0,0,0,0,0,1,1
Kenyang,,ken,,ken,0,0,0,0,0,0,1,1
Konso,,kxc,,kxc,0,0,0,0,0,0,1,1
Guianese Creole French,,gcr,,gcr,0,0,0,0,0,0,1,1
Doromu-Koki,,kqc,,kqc,0,0,0,0,0,0,1,1
South Bolivian Quechua,,quh,,quh,0,0,0,0,0,0,1,1
Tlahuitoltepec Mixe,,mxp,,mxp,0,0,0,0,0,0,1,1
Nggem,,nbq,,nbq,0,0,0,0,0,0,1,1
Djambarrpuyngu,,djr,,djr,0,0,0,0,0,0,1,1
Sharanahua,,mcd,,mcd,0,0,0,0,0,0,1,1
Ezaa,,eza,,eza,0,0,0,0,0,0,1,1
Limbum,,lmp,,lmp,0,0,0,0,0,0,1,1
Kwara'ae,,kwf,,kwf,0,0,0,0,0,0,1,1
Metlatónoc Mixtec,,mxv,,mxv,0,0,0,0,0,0,1,1
Machiguenga,,mcb,,mcb,0,0,0,0,0,0,1,1
Choapan Zapotec,,zpc,,zpc,0,0,0,0,0,0,1,1
Tausug,,tsg,,tsg,0,0,0,0,0,0,1,1
Western Highland Chatino,,ctp,,ctp,0,0,0,0,0,0,1,1
Nande,,nnb,,nnb,0,0,0,0,0,0,1,1
Apalaí,,apy,,apy,0,0,0,0,0,0,1,1
Zyphe Chin,,zyp,,zyp,0,0,0,0,0,0,1,1
Nilamba,,nim,,nim,0,0,0,0,0,0,1,1
Chortí,,caa,,caa,0,0,0,0,0,0,1,1
Guayabero,,guo,,guo,0,0,0,0,0,0,1,1
Atikamekw,,atj,,atj,0,0,0,0,0,0,1,1
Sunwar,,suz,,suz,0,0,0,0,0,0,1,1
Kire,,geb,,geb,0,0,0,0,0,0,1,1
Northern Oaxaca Nahuatl,,nhy,,nhy,0,0,0,0,0,0,1,1
Shipibo-Conibo,,shp,,shp,0,0,0,0,0,0,1,1
Ese Ejja,,ese,,ese,0,0,0,0,0,0,1,1
Kisar,,kje,,kje,0,0,0,0,0,0,1,1
Western Bolivian Guaraní,,gnw,,gnw,0,0,0,0,0,0,1,1
Southeastern Puebla Nahuatl,,npl,,npl,0,0,0,0,0,0,1,1
Baeggu,,bvd,,bvd,0,0,0,0,0,0,1,1
Nyoro,,nyo,,nyo,0,0,0,0,0,0,1,1
Tiruray,,tiy,,tiy,0,0,0,0,0,0,1,1
Chukot,,ckt,,ckt,0,0,0,0,0,0,1,1
Limbu,,lif,,lif,0,0,0,0,0,0,1,1
Teutila Cuicatec,,cut,,cut,0,0,0,0,0,0,1,1
Ronga,,rng,,rng,0,0,0,0,0,0,1,1
San Marcos Tlacoyalco Popoloca,,pls,,pls,0,0,0,0,0,0,1,1
Copala Triqui,,trc,,trc,0,0,0,0,0,0,1,1
Khanty,,kca,,kca,0,0,0,0,0,0,1,1
Guhu-Samane,,ghs,,ghs,0,0,0,0,0,0,1,1
Rikbaktsa,,rkb,,rkb,0,0,0,0,0,0,1,1
Car Nicobarese,,caq,,caq,0,0,0,0,0,0,1,1
Tlicho,,dgr,,dgr,0,0,0,0,0,0,1,1
Chácobo,,cao,,cao,0,0,0,0,0,0,1,1
Kumam,,kdi,,kdi,0,0,0,0,0,0,1,1
Tepo Krumen,,ted,,ted,0,0,0,0,0,0,1,1
Northern Paiute,,pao,,pao,0,0,0,0,0,0,1,1
Kankanaey,,kne,,kne,0,0,0,0,0,0,1,1
Siona,,snn,,snn,0,0,0,0,0,0,1,1
Huambisa,,hub,,hub,0,0,0,0,0,0,1,1
Plains Cree,,crk,,crk,0,0,0,0,0,0,1,1
Awa (Papua New Guinea),,awb,,awb,0,0,0,0,0,0,1,1
Sebat Bet Gurage,,sgw,,sgw,0,0,0,0,0,0,1,1
Barai,,bbb,,bbb,0,0,0,0,0,0,1,1
Cashibo-Cacataibo,,cbr,,cbr,0,0,0,0,0,0,1,1
Gusii,,guz,,guz,0,0,0,0,0,0,1,1
Sarangani Manobo,,mbs,,mbs,0,0,0,0,0,0,1,1
Palikúr,,plu,,plu,0,0,0,0,0,0,1,1
Hdi,,xed,,xed,0,0,0,0,0,0,1,1
Khana,,ogo,,ogo,0,0,0,0,0,0,1,1
Khiamniungan Naga,,kix,,kix,0,0,0,0,0,0,1,1
Tumbuka,,tum,tum_Latn,tum,0,0,1,0,0,0,1,1
Ladakhi,,lbj,,lbj,0,0,0,0,0,0,1,1
Arabela,,arl,,arl,0,0,0,0,0,0,1,1
Mandinka,,mnk,,mnk,0,0,0,0,0,0,1,1
Makonde,,kde,,kde,0,0,0,0,0,0,1,1
Warlpiri,,wbp,,wbp,0,0,0,0,0,0,1,1
Coyutla Totonac,,toc,,toc,0,0,0,0,0,0,1,1
Bassa,,bsq,,bsq,0,0,0,0,0,0,1,1
San Pedro Amuzgos Amuzgo,,azg,,azg,0,0,0,0,0,0,1,1
Achagua,,aca,,aca,0,0,0,0,0,0,1,1
Michoacán Nahuatl,,ncl,,ncl,0,0,0,0,0,0,1,1
Kadiwéu,,kbc,,kbc,0,0,0,0,0,0,1,1
Totontepec Mixe,,mto,,mto,0,0,0,0,0,0,1,1
Chumburung,,ncu,,ncu,0,0,0,0,0,0,1,1
Hunsrik,,hrx,,hrx,0,0,0,0,0,0,1,1
Mamara Senoufo,,myk,,myk,0,0,0,0,0,0,1,1
Bantoanon,,bno,,bno,0,0,0,0,0,0,1,1
Abé,,aba,,aba,0,0,0,0,0,0,1,1
Central Yupik,,esu,,esu,0,0,0,0,0,0,1,1
Sherpa,,xsr,,xsr,0,0,0,0,0,0,1,1
Tetelcingo Nahuatl,,nhg,,nhg,0,0,0,0,0,0,1,1
Nyakyusa-Ngonde,,nyy,,nyy,0,0,0,0,0,0,1,1
Sampang,,rav,,rav,0,0,0,0,0,0,1,1
Moose Cree,,crm,,crm,0,0,0,0,0,0,1,1
