language,lang_code,country,number_of_speakers,corpus_size,corpus_metric_used,cluster_class,cluster_name,category,family,script_type
Muinane,bmr,Unknown,2200,308433,words,0,Cluster 0,Indigenous,Witotoan,Latin
Lealao Chinantec,cle,Unknown,3200,308136,words,0,Cluster 0,Indigenous,Otomanguean,Latin
Kwoma,kmo,Unknown,5700,307413,words,0,Cluster 0,Indigenous,Sepik,Latin
Izere,izr,Unknown,110000,307329,words,0,Cluster 0,Indigenous,Niger-Congo,Latin
Inuinnaqtun,ikt,Unknown,47000,306862,words,0,Cluster 0,Indigenous,Eskimo-Aleut,Latin
West-Central Limba,lia,Unknown,579200,306739,words,0,Cluster 0,Indigenous,Niger-Congo,Latin
Tlachichilco Tepehua,tpt,Unknown,4700,306127,words,0,Cluster 0,Indigenous,Totonacan,Latin
Molima,mox,Unknown,7100,304234,words,0,Cluster 0,Indigenous,Austronesian,Latin
Kusaal,kus,Unknown,751800,304044,words,0,Cluster 0,Indigenous,Niger-Congo,Latin
Faiwol,fai,Unknown,13000,303854,words,0,Cluster 0,Indigenous,Trans-New Guinea,Latin
Xaasongaxango,kao,Unknown,1094800,303635,words,0,Cluster 0,Regional,Niger-Congo,Latin
Alyawarr,aly,Unknown,1700,302191,words,0,Cluster 0,Indigenous,Australian,Latin
Nyemba,nba,Unknown,1210000,302022,words,0,Cluster 0,Regional,Niger-Congo,Latin
Lachixío Zapotec,zpl,Unknown,10000,301928,words,0,Cluster 0,Indigenous,Otomanguean,Latin
Sochiapam Chinantec,cso,Unknown,8100,301664,words,0,Cluster 0,Indigenous,Otomanguean,Latin
Kuwaataay,cwt,Unknown,11000,301348,words,0,Cluster 0,Indigenous,Niger-Congo,Latin
Naro,nhr,Unknown,11300,301037,words,0,Cluster 0,Indigenous,Khoe-Kwadi,Latin
Tswa,tsc,Unknown,1414300,300193,words,0,Cluster 0,Regional,Niger-Congo,Latin
Biangai,big,Unknown,7400,299818,words,0,Cluster 0,Indigenous,Trans-New Guinea,Latin
Ocotlán Zapotec,zac,Unknown,23900,299808,words,0,Cluster 0,Indigenous,Otomanguean,Latin
Ntcham,bud,Unknown,395200,298361,words,0,Cluster 0,Indigenous,Niger-Congo,Latin
Aghul,agx,Unknown,34000,297778,words,0,Cluster 0,Indigenous,Nakh-Daghestanian,Non-Latin
Waris,wrs,Unknown,11100,297276,words,0,Cluster 0,Indigenous,Border,Latin
Kukele,kez,Unknown,264000,296734,words,0,Cluster 0,Indigenous,Niger-Congo,Latin
Rotokas,roo,Unknown,12000,296550,words,0,Cluster 0,Indigenous,North Bougainville,Latin
Makasar,mak,Unknown,2529000,295923,words,0,Cluster 0,Regional,Austronesian,Latin
Ayautla Mazatec,vmy,Unknown,4600,295886,words,0,Cluster 0,Indigenous,Otomanguean,Latin
Awa-Cuaiquer,kwi,Unknown,49200,294614,words,0,Cluster 0,Indigenous,Barbacoan,Latin
Keapara,khz,Unknown,40000,294603,words,0,Cluster 0,Indigenous,Austronesian,Latin
Nehan,nsn,Unknown,13000,294521,words,0,Cluster 0,Indigenous,Austronesian,Latin
Buhid,bku,Unknown,15000,293990,words,0,Cluster 0,Indigenous,Austronesian,Latin
Chol,ctu,Unknown,248200,293938,words,0,Cluster 0,Indigenous,Mayan,Latin
Sinaugoro,snc,Unknown,33000,293805,words,0,Cluster 0,Indigenous,Austronesian,Latin
Uspanteco,usp,Unknown,5400,293788,words,0,Cluster 0,Indigenous,Mayan,Latin
Hanga,hag,Unknown,12000,291364,words,0,Cluster 0,Indigenous,Niger-Congo,Latin
Wichí Lhamtés Nocten,mtp,Unknown,5600,291288,words,0,Cluster 0,Indigenous,Matacoan,Latin
Usila Chinantec,cuc,Unknown,9900,291262,words,0,Cluster 0,Indigenous,Otomanguean,Latin
Gofa,gof,Unknown,698000,291238,words,0,Cluster 0,Indigenous,Afro-Asiatic,Non-Latin
Palantla Chinantec,cpa,Unknown,30000,290492,words,0,Cluster 0,Indigenous,Otomanguean,Latin
Luvale,lue,Unknown,1042000,290157,words,0,Cluster 0,Regional,Niger-Congo,Latin
Saliba,sbe,Unknown,4400,290092,words,0,Cluster 0,Indigenous,Austronesian,Latin
Gorontalo,gor,Unknown,1239000,289897,words,0,Cluster 0,Regional,Austronesian,Latin
Au,avt,Unknown,16000,289794,words,0,Cluster 0,Indigenous,Torricelli,Latin
South Fali,fal,Unknown,66000,289054,words,0,Cluster 0,Indigenous,Niger-Congo,Latin
Jola-Fonyi,dyo,Unknown,535200,288859,words,0,Cluster 0,Indigenous,Niger-Congo,Latin
Suau,swp,Unknown,13400,287831,words,0,Cluster 0,Indigenous,Austronesian,Latin
Southern Pastaza Quechua,qup,Unknown,2100,286857,words,0,Cluster 0,Indigenous,Quechuan,Latin
Arop-Lokep,apr,Unknown,6200,286310,words,0,Cluster 0,Indigenous,Austronesian,Latin
Lacandon,lac,Unknown,770,286306,words,0,Cluster 0,Indigenous,Mayan,Latin
Sukuma,suk,Unknown,11789900,286216,words,0,Cluster 0,Major Regional,Niger-Congo,Latin
Salt-Yui,sll,Unknown,22000,285856,words,0,Cluster 0,Indigenous,Trans-New Guinea,Latin
Wuvulu-Aua,wuv,Unknown,3300,285224,words,0,Cluster 0,Indigenous,Austronesian,Latin
Xavánte,xav,Unknown,16000,285186,words,0,Cluster 0,Indigenous,Jean,Latin
Markweeta,enb,Unknown,141000,284367,words,0,Cluster 0,Indigenous,Nilo-Saharan,Latin
Kanite,kmu,Unknown,11000,284057,words,0,Cluster 0,Indigenous,Trans-New Guinea,Latin
Huallaga Huánuco Quechua,qub,Unknown,60000,282824,words,0,Cluster 0,Indigenous,Quechuan,Latin
Bishnupriya,bpy,Unknown,119000,281782,words,0,Cluster 0,Indigenous,Indo-European,Non-Latin
Yopno,yut,Unknown,14400,280917,words,0,Cluster 0,Indigenous,Trans-New Guinea,Latin
Cabécar,cjp,Unknown,14000,280537,words,0,Cluster 0,Indigenous,Chibchan,Latin
Sa'a,apb,Unknown,24000,278307,words,0,Cluster 0,Indigenous,Austronesian,Latin
Dawro,dwr,Unknown,1205000,277462,words,0,Cluster 0,Regional,Afro-Asiatic,Latin
Biak,bhw,Unknown,121000,277090,words,0,Cluster 0,Indigenous,Austronesian,Latin
Umanakaina,gdn,Unknown,7000,276362,words,0,Cluster 0,Indigenous,Trans-New Guinea,Latin
Kayabí,kyz,Unknown,2710,276350,words,0,Cluster 0,Indigenous,Tupian,Latin
Guahibo,guh,Unknown,76200,276224,words,0,Cluster 0,Indigenous,Guajiboan,Latin
Yareba,yrb,Unknown,2600,275531,words,0,Cluster 0,Indigenous,Trans-New Guinea,Latin
Orokaiva,okv,Unknown,71000,275095,words,0,Cluster 0,Indigenous,Trans-New Guinea,Latin
Trinitario,trn,Unknown,7300,274843,words,0,Cluster 0,Indigenous,Maipurean,Latin
Saraiki,skr,Unknown,25620700,272833,words,0,Cluster 0,Major Regional,Indo-European,Non-Latin
Northern Tlaxiaco Mixtec,xtn,Unknown,20500,272790,words,0,Cluster 0,Indigenous,Otomanguean,Latin
Galibi Carib,car,Unknown,61770,272610,words,0,Cluster 0,Indigenous,Cariban,Latin
Siroi,ssd,Unknown,2500,272045,words,0,Cluster 0,Indigenous,Trans-New Guinea,Latin
Alune,alp,Unknown,24000,271337,words,0,Cluster 0,Indigenous,Austronesian,Latin
Mitla Zapotec,zaw,Unknown,35000,271306,words,0,Cluster 0,Indigenous,Otomanguean,Latin
Zacatlán-Ahuacatlán-Tepetzintla Nahuatl,nhi,Unknown,26000,270383,words,0,Cluster 0,Indigenous,Uto-Aztecan,Latin
Kwaio,kwd,Unknown,27000,268829,words,0,Cluster 0,Indigenous,Austronesian,Latin
Nabak,naf,Unknown,43000,268027,words,0,Cluster 0,Indigenous,Trans-New Guinea,Latin
Tangoa,tgp,Unknown,1400,267909,words,0,Cluster 0,Indigenous,Austronesian,Latin
Tepetotutla Chinantec,cnt,Unknown,2500,267816,words,0,Cluster 0,Indigenous,Otomanguean,Latin
Tharaka,thk,Unknown,241000,267794,words,0,Cluster 0,Indigenous,Niger-Congo,Latin
Northern Emberá,emp,Unknown,47000,267460,words,0,Cluster 0,Indigenous,Chocoan,Latin
Quioquitani-Quierí Zapotec,ztq,Unknown,6200,267288,words,0,Cluster 0,Indigenous,Otomanguean,Latin
Parecís,pab,Unknown,1800,266563,words,0,Cluster 0,Indigenous,Maipurean,Latin
Gogo,gog,Unknown,3008000,265783,words,0,Cluster 0,Regional,Niger-Congo,Latin
Northwestern Ojibwa,ojb,Unknown,26000,264191,words,0,Cluster 0,Indigenous,Algic,Non-Latin
Muyuw,myw,Unknown,4700,264177,words,0,Cluster 0,Indigenous,Austronesian,Latin
Hehe,heh,Unknown,1683000,264145,words,0,Cluster 0,Regional,Niger-Congo,Latin
Awiyaana,auy,Unknown,23000,262427,words,0,Cluster 0,Indigenous,Trans-New Guinea,Latin
Sursurunga,sgz,Unknown,8200,261667,words,0,Cluster 0,Indigenous,Austronesian,Latin
Mabaan,mfz,Unknown,94400,261637,words,0,Cluster 0,Indigenous,Nilo-Saharan,Latin
Yosondúa Mixtec,mpm,Unknown,2400,261159,words,0,Cluster 0,Indigenous,Otomanguean,Latin
Amanab,amn,Unknown,8400,260518,words,0,Cluster 0,Indigenous,Border,Latin
Cuiba,cui,Unknown,2000,260053,words,0,Cluster 0,Indigenous,Guajiboan,Latin
Wayuu,guc,Unknown,764000,259244,words,0,Cluster 0,Indigenous,Maipurean,Latin
Kafa,kbr,Unknown,1293000,258737,words,0,Cluster 0,Regional,Afro-Asiatic,Latin
Wik-Mungkan,wim,Unknown,500,258525,words,0,Cluster 0,Indigenous,Australian,Latin
Western Niger Fulfulde,fuh,Unknown,3289500,257546,words,0,Cluster 0,Regional,Niger-Congo,Latin
Gitonga,toh,Unknown,361000,257076,words,0,Cluster 0,Indigenous,Niger-Congo,Latin
Chamacoco,ceg,Unknown,2100,256826,words,0,Cluster 0,Indigenous,Zamucoan,Latin
Kuman (Papua New Guinea),kue,Unknown,211400,256099,words,0,Cluster 0,Indigenous,Trans-New Guinea,Latin
Pamplona Atta,att,Unknown,1600,256061,words,0,Cluster 0,Indigenous,Austronesian,Latin
North Junín Quechua,qvn,Unknown,83000,255469,words,0,Cluster 0,Indigenous,Quechuan,Latin
Usan,wnu,Unknown,3800,254423,words,0,Cluster 0,Indigenous,Trans-New Guinea,Latin
Kupsabiny,kpz,Unknown,368000,253003,words,0,Cluster 0,Indigenous,Nilo-Saharan,Latin
Inga,inb,Unknown,21700,252968,words,0,Cluster 0,Indigenous,Quechuan,Latin
Inoke-Yate,ino,Unknown,28000,252965,words,0,Cluster 0,Indigenous,Trans-New Guinea,Latin
Kakwa,keo,Unknown,608000,252214,words,0,Cluster 0,Indigenous,Nilo-Saharan,Latin
Anufo,cko,Unknown,258000,252173,words,0,Cluster 0,Indigenous,Niger-Congo,Latin
Safeyoka,apz,Unknown,5100,252049,words,0,Cluster 0,Indigenous,Trans-New Guinea,Latin
Borei,gai,Unknown,4000,251353,words,0,Cluster 0,Indigenous,Ramu-Lower Sepik,Latin
Sea Island Creole English,gul,Unknown,305000,251065,words,0,Cluster 0,Indigenous,Creole,Latin
South Tairora,omw,Unknown,13000,250764,words,0,Cluster 0,Indigenous,Trans-New Guinea,Latin
Fanamaket,bjp,Unknown,2200,250743,words,0,Cluster 0,Indigenous,Austronesian,Latin
Ngangam,gng,Unknown,125000,250464,words,0,Cluster 0,Indigenous,Niger-Congo,Latin
Buglere,sab,Unknown,22000,250032,words,0,Cluster 0,Indigenous,Chibchan,Latin
Huaylla Wanca Quechua,qvw,Unknown,321000,249922,words,0,Cluster 0,Indigenous,Quechuan,Latin
Patep,ptp,Unknown,3700,249215,words,0,Cluster 0,Indigenous,Austronesian,Latin
Batad Ifugao,ifb,Unknown,15000,247456,words,0,Cluster 0,Indigenous,Austronesian,Latin
Southwest Gbaya,gso,Unknown,293000,246239,words,0,Cluster 0,Indigenous,Niger-Congo,Latin
Siwu,akp,Unknown,99000,245930,words,0,Cluster 0,Indigenous,Niger-Congo,Latin
Woun Meu,noa,Unknown,25000,245781,words,0,Cluster 0,Indigenous,Chocoan,Latin
Tena Lowland Quichua,quw,Unknown,30000,245709,words,0,Cluster 0,Indigenous,Quechuan,Latin
Ewage-Notu,nou,Unknown,40000,245466,words,0,Cluster 0,Indigenous,Trans-New Guinea,Latin
Maiwa (Papua New Guinea),mti,Unknown,3400,245118,words,0,Cluster 0,Indigenous,Trans-New Guinea,Latin
Koreguaje,coe,Unknown,3400,245057,words,0,Cluster 0,Indigenous,Tucanoan,Latin
Juquila Mixe,mxq,Unknown,10000,244964,words,0,Cluster 0,Indigenous,Mixe-Zoquean,Latin
Mentawai,mwv,Unknown,82000,243826,words,0,Cluster 0,Indigenous,Austronesian,Latin
Khoekhoe,naq,Unknown,428300,243476,words,0,Cluster 0,Indigenous,Khoe-Kwadi,Latin
Mankanya,knf,Unknown,116600,243079,words,0,Cluster 0,Indigenous,Niger-Congo,Latin
Benabena,bef,Unknown,111000,242346,words,0,Cluster 0,Indigenous,Trans-New Guinea,Latin
Arosi,aia,Unknown,14000,238434,words,0,Cluster 0,Indigenous,Austronesian,Latin
Wantoat,wnc,Unknown,30700,237958,words,0,Cluster 0,Indigenous,Trans-New Guinea,Latin
San Martín Quechua,qvs,Unknown,59000,237852,words,0,Cluster 0,Indigenous,Quechuan,Latin
Tenharim,pah,Unknown,2160,237679,words,0,Cluster 0,Indigenous,Tupian,Latin
Atayal,tay,Unknown,85000,237606,words,0,Cluster 0,Indigenous,Austronesian,Latin
Seimat,ssg,Unknown,2600,237605,words,0,Cluster 0,Indigenous,Austronesian,Latin
Rotuman,rtm,Unknown,8600,236882,words,0,Cluster 0,Indigenous,Austronesian,Latin
Malvi,mup,Unknown,89000,236832,words,0,Cluster 0,Indigenous,Indo-European,Non-Latin
Casiguran Dumagat Agta,dgc,Unknown,900,236772,words,0,Cluster 0,Indigenous,Austronesian,Latin
Lole,llg,Unknown,27000,236702,words,0,Cluster 0,Indigenous,Austronesian,Latin
Hote,hot,Unknown,5300,236678,words,0,Cluster 0,Indigenous,Austronesian,Latin
Mbyá Guaraní,gun,Unknown,46300,236647,words,0,Cluster 0,Indigenous,Tupian,Latin
Tereno,ter,Unknown,27000,236478,words,0,Cluster 0,Indigenous,Maipurean,Latin
Mountain Koiali,kpx,Unknown,7300,236014,words,0,Cluster 0,Indigenous,Trans-New Guinea,Latin
Huamalíes-Dos de Mayo Huánuco Quechua,qvh,Unknown,97000,235069,words,0,Cluster 0,Indigenous,Quechuan,Latin
Lomwe,ngl,Unknown,3484000,234881,words,0,Cluster 0,Regional,Niger-Congo,Latin
Algonquin,alq,Unknown,7500,232220,words,0,Cluster 0,Indigenous,Algic,Latin
Waima,rro,Unknown,30000,231901,words,0,Cluster 0,Indigenous,Austronesian,Latin
Wiru,wiu,Unknown,52000,231265,words,0,Cluster 0,Indigenous,Trans-New Guinea,Latin
Weri,wer,Unknown,8800,230338,words,0,Cluster 0,Indigenous,Trans-New Guinea,Latin
South Ucayali Ashéninka,cpy,Unknown,18000,229053,words,0,Cluster 0,Indigenous,Maipurean,Latin
Imbabura Highland Quichua,qvi,Unknown,195000,228085,words,0,Cluster 0,Indigenous,Quechuan,Latin
Kandawo,gam,Unknown,7600,227196,words,0,Cluster 0,Indigenous,Trans-New Guinea,Latin
Southern Kisi,kss,Unknown,374000,226945,words,0,Cluster 0,Indigenous,Niger-Congo,Latin
Komba,kpf,Unknown,31000,226335,words,0,Cluster 0,Indigenous,Trans-New Guinea,Latin
Sepik Iwam,iws,Unknown,5100,225947,words,0,Cluster 0,Indigenous,Sepik,Latin
Ilianen Manobo,mbi,Unknown,23000,225835,words,0,Cluster 0,Indigenous,Austronesian,Latin
Anindilyakwa,aoi,Unknown,1600,225770,words,0,Cluster 0,Indigenous,Australian,Latin
Tabaa Zapotec,zat,Unknown,3000,225596,words,0,Cluster 0,Indigenous,Otomanguean,Latin
Mamanwa,mmn,Unknown,9900,222917,words,0,Cluster 0,Indigenous,Austronesian,Latin
Uduk,udu,Unknown,67400,222875,words,0,Cluster 0,Indigenous,Nilo-Saharan,Latin
Mi'kmaq,mic,Unknown,26900,222548,words,0,Cluster 0,Indigenous,Algic,Latin
Helong,heg,Unknown,19000,222369,words,0,Cluster 0,Indigenous,Austronesian,Latin
Kwamera,tnk,Unknown,6000,221358,words,0,Cluster 0,Indigenous,Austronesian,Latin
Mbula,mna,Unknown,8000,220813,words,0,Cluster 0,Indigenous,Austronesian,Latin
Bughotu,bgt,Unknown,8300,220698,words,0,Cluster 0,Indigenous,Austronesian,Latin
Duala,dua,Unknown,291000,220604,words,0,Cluster 0,Indigenous,Niger-Congo,Latin
Haya,hay,Unknown,2700000,219985,words,0,Cluster 0,Regional,Niger-Congo,Latin
Bisu,bzi,Unknown,800,219956,words,0,Cluster 0,Indigenous,Sino-Tibetan,Non-Latin
Chuwabu,chw,Unknown,1341000,219941,words,0,Cluster 0,Regional,Niger-Congo,Latin
North Mesopotamian Arabic,ayp,Unknown,12587000,219621,words,0,Cluster 0,Major Regional,Afro-Asiatic,Non-Latin
Kouya,kyf,Unknown,23000,219049,words,0,Cluster 0,Indigenous,Niger-Congo,Latin
Garo,grt,Unknown,1359000,217895,words,0,Cluster 0,Regional,Sino-Tibetan,Non-Latin
Pa'o Karen,blk,Unknown,858740,217388,words,0,Cluster 0,Indigenous,Sino-Tibetan,Non-Latin
Margos-Yarowilca-Lauricocha Quechua,qvm,Unknown,149000,216996,words,0,Cluster 0,Indigenous,Quechuan,Latin
Tataltepec Chatino,cta,Unknown,600,216988,words,0,Cluster 0,Indigenous,Otomanguean,Latin
Whitesands,tnp,Unknown,13000,216364,words,0,Cluster 0,Indigenous,Austronesian,Latin
Keyagana,kyg,Unknown,42000,216051,words,0,Cluster 0,Indigenous,Trans-New Guinea,Latin
Tawala,tbo,Unknown,41000,215913,words,0,Cluster 0,Indigenous,Austronesian,Latin
Eastern Highland Otomi,otm,Unknown,61000,215168,words,0,Cluster 0,Indigenous,Otomanguean,Latin
Usarufa,usa,Unknown,3300,214908,words,0,Cluster 0,Indigenous,Trans-New Guinea,Latin
Northern Pastaza Quichua,qvz,Unknown,13400,214540,words,0,Cluster 0,Indigenous,Quechuan,Latin
Baka (South Sudan),bdh,Unknown,73500,213495,words,0,Cluster 0,Indigenous,Nilo-Saharan,Latin
Label,lbb,Unknown,500,212052,words,0,Cluster 0,Indigenous,Austronesian,Latin
Bokobaru,bus,Unknown,86000,211885,words,0,Cluster 0,Indigenous,Niger-Congo,Latin
Zigula,ziw,Unknown,953500,210111,words,0,Cluster 0,Indigenous,Niger-Congo,Latin
Northern Thai,nod,Unknown,7798000,209665,words,0,Cluster 0,Regional,Kra-Dai,Non-Latin
Dela-Oenale,row,Unknown,9400,208247,words,0,Cluster 0,Indigenous,Austronesian,Latin
Kilivila,kij,Unknown,47000,207789,words,0,Cluster 0,Indigenous,Austronesian,Latin
Bimoba,bim,Unknown,275000,207644,words,0,Cluster 0,Indigenous,Niger-Congo,Latin
Northwest Alaska Inupiatun,esk,Unknown,28000,207221,words,0,Cluster 0,Indigenous,Eskimo-Aleut,Latin
Antankarana Malagasy,xmv,Unknown,233000,207048,words,0,Cluster 0,Indigenous,Austronesian,Latin
Lewo,lww,Unknown,3800,206957,words,0,Cluster 0,Indigenous,Austronesian,Latin
Huautla Mazatec,mau,Unknown,102000,206280,words,0,Cluster 0,Indigenous,Otomanguean,Latin
Angal Heneng,akh,Unknown,95500,205949,words,0,Cluster 0,Indigenous,Trans-New Guinea,Latin
Murle,mur,Unknown,196800,202858,words,0,Cluster 0,Indigenous,Nilo-Saharan,Latin
Mussau-Emira,emi,Unknown,9400,202821,words,0,Cluster 0,Indigenous,Austronesian,Latin
Batak Angkola,akb,Unknown,1274000,201856,words,0,Cluster 0,Regional,Austronesian,Latin
Maca,mca,Unknown,1300,201255,words,0,Cluster 0,Indigenous,Matacoan,Latin
Enga,enq,Unknown,432000,201187,words,0,Cluster 0,Indigenous,Trans-New Guinea,Latin
Southern Carrier,caf,Unknown,2300,201049,words,0,Cluster 0,Indigenous,Eyak-Athabaskan,Latin
Chipaya,cap,Unknown,2400,198485,words,0,Cluster 0,Indigenous,Chipaya-Uru,Latin
Chichicapan Zapotec,zpv,Unknown,3400,197058,words,0,Cluster 0,Indigenous,Otomanguean,Latin
Tabasco Chontal,chf,Unknown,62000,197009,words,0,Cluster 0,Indigenous,Mayan,Latin
Iatmul,ian,Unknown,16000,196535,words,0,Cluster 0,Indigenous,Sepik,Latin
Noon,snf,Unknown,53000,196519,words,0,Cluster 0,Indigenous,Niger-Congo,Latin
Saamia,lsm,Unknown,742000,194706,words,0,Cluster 0,Indigenous,Niger-Congo,Latin
Kagulu,kki,Unknown,468000,193900,words,0,Cluster 0,Indigenous,Niger-Congo,Latin
Kombio,xbi,Unknown,5600,193201,words,0,Cluster 0,Indigenous,Torricelli,Latin
Tetela,tll,Unknown,2182000,192019,words,0,Cluster 0,Regional,Niger-Congo,Latin
Tagabawa,bgs,Unknown,69000,191053,words,0,Cluster 0,Indigenous,Austronesian,Latin
Shuar,jiv,Unknown,73000,190810,words,0,Cluster 0,Indigenous,Jivaroan,Latin
Nunggubuyu,nuy,Unknown,300,190774,words,0,Cluster 0,Indigenous,Australian,Latin
Huichol,hch,Unknown,68500,190099,words,0,Cluster 0,Indigenous,Uto-Aztecan,Latin
Timbe,tim,Unknown,30000,189568,words,0,Cluster 0,Indigenous,Trans-New Guinea,Latin
Tii,txq,Unknown,27000,188899,words,0,Cluster 0,Indigenous,Austronesian,Latin
Kaingang,kgp,Unknown,36000,188589,words,0,Cluster 0,Indigenous,Jean,Latin
Maxakalí,mbl,Unknown,1700,187919,words,0,Cluster 0,Indigenous,Maxakalian,Latin
Eastern Apurímac Quechua,qve,Unknown,257000,187197,words,0,Cluster 0,Indigenous,Quechuan,Latin
Kenyang,ken,Unknown,162000,186692,words,0,Cluster 0,Indigenous,Niger-Congo,Latin
Konso,kxc,Unknown,497400,185835,words,0,Cluster 0,Indigenous,Afro-Asiatic,Non-Latin
Guianese Creole French,gcr,Unknown,144000,184070,words,0,Cluster 0,Indigenous,Creole,Latin
Doromu-Koki,kqc,Unknown,2600,184009,words,0,Cluster 0,Indigenous,Trans-New Guinea,Latin
South Bolivian Quechua,quh,Unknown,2004300,182717,words,0,Cluster 0,Regional,Quechuan,Latin
Tlahuitoltepec Mixe,mxp,Unknown,7800,182152,words,0,Cluster 0,Indigenous,Mixe-Zoquean,Latin
Nggem,nbq,Unknown,5800,178546,words,0,Cluster 0,Indigenous,Trans-New Guinea,Latin
Djambarrpuyngu,djr,Unknown,4600,176585,words,0,Cluster 0,Indigenous,Australian,Latin
Sharanahua,mcd,Unknown,1400,176412,words,0,Cluster 0,Indigenous,Panoan,Latin
Ezaa,eza,Unknown,842000,176323,words,0,Cluster 0,Indigenous,Niger-Congo,Latin
Limbum,lmp,Unknown,226200,175438,words,0,Cluster 0,Indigenous,Niger-Congo,Latin
Kwara'ae,kwf,Unknown,66000,174184,words,0,Cluster 0,Indigenous,Austronesian,Latin
Metlatónoc Mixtec,mxv,Unknown,63600,173581,words,0,Cluster 0,Indigenous,Otomanguean,Latin
Machiguenga,mcb,Unknown,24000,171840,words,0,Cluster 0,Indigenous,Maipurean,Latin
Choapan Zapotec,zpc,Unknown,15000,170887,words,0,Cluster 0,Indigenous,Otomanguean,Latin
Tausug,tsg,Unknown,1654000,170663,words,0,Cluster 0,Regional,Austronesian,Latin
Western Highland Chatino,ctp,Unknown,22500,167931,words,0,Cluster 0,Indigenous,Otomanguean,Latin
Nande,nnb,Unknown,2632100,167668,words,0,Cluster 0,Regional,Niger-Congo,Latin
Apalaí,apy,Unknown,500,167415,words,0,Cluster 0,Indigenous,Cariban,Latin
Zyphe Chin,zyp,Unknown,21000,166534,words,0,Cluster 0,Indigenous,Sino-Tibetan,Latin
Nilamba,nim,Unknown,955000,164930,words,0,Cluster 0,Indigenous,Niger-Congo,Latin
Chortí,caa,Unknown,159000,164641,words,0,Cluster 0,Indigenous,Mayan,Latin
Guayabero,guo,Unknown,3100,162993,words,0,Cluster 0,Indigenous,Guajiboan,Latin
Atikamekw,atj,Unknown,6800,162913,words,0,Cluster 0,Indigenous,Algic,Latin
Sunwar,suz,Unknown,62000,162222,words,0,Cluster 0,Indigenous,Sino-Tibetan,Non-Latin
Kire,geb,Unknown,4600,161276,words,0,Cluster 0,Indigenous,Ramu-Lower Sepik,Latin
Northern Oaxaca Nahuatl,nhy,Unknown,14000,160842,words,0,Cluster 0,Indigenous,Uto-Aztecan,Latin
Shipibo-Conibo,shp,Unknown,33100,160737,words,0,Cluster 0,Indigenous,Panoan,Latin
Ese Ejja,ese,Unknown,3000,159788,words,0,Cluster 0,Indigenous,Tacanan,Latin
Kisar,kje,Unknown,30000,158975,words,0,Cluster 0,Indigenous,Austronesian,Latin
Western Bolivian Guaraní,gnw,Unknown,9700,157113,words,0,Cluster 0,Indigenous,Tupian,Latin
Southeastern Puebla Nahuatl,npl,Unknown,145700,156842,words,0,Cluster 0,Indigenous,Uto-Aztecan,Latin
Baeggu,bvd,Unknown,12000,156751,words,0,Cluster 0,Indigenous,Austronesian,Latin
Nyoro,nyo,Unknown,1469000,155763,words,0,Cluster 0,Regional,Niger-Congo,Latin
Tiruray,tiy,Unknown,74000,154814,words,0,Cluster 0,Indigenous,Austronesian,Latin
Chukot,ckt,Unknown,16000,153819,words,0,Cluster 0,Indigenous,Chukotko-Kamchatkan,Non-Latin
Limbu,lif,Unknown,423000,153038,words,0,Cluster 0,Indigenous,Sino-Tibetan,Non-Latin
Teutila Cuicatec,cut,Unknown,4200,148979,words,0,Cluster 0,Indigenous,Otomanguean,Latin
Ronga,rng,Unknown,854400,148123,words,0,Cluster 0,Indigenous,Niger-Congo,Latin
San Marcos Tlacoyalco Popoloca,pls,Unknown,11000,147547,words,0,Cluster 0,Indigenous,Otomanguean,Latin
Copala Triqui,trc,Unknown,50000,146889,words,0,Cluster 0,Indigenous,Otomanguean,Latin
Khanty,kca,Unknown,31000,146178,words,0,Cluster 0,Indigenous,Uralic,Non-Latin
Guhu-Samane,ghs,Unknown,27000,146123,words,0,Cluster 0,Indigenous,Trans-New Guinea,Latin
Rikbaktsa,rkb,Unknown,1400,145907,words,0,Cluster 0,Indigenous,Language isolate,Latin
Car Nicobarese,caq,Unknown,31000,145288,words,0,Cluster 0,Indigenous,Austro-Asiatic,Latin
Tlicho,dgr,Unknown,4200,144266,words,0,Cluster 0,Indigenous,Eyak-Athabaskan,Latin
Chácobo,cao,Unknown,1400,144080,words,0,Cluster 0,Indigenous,Panoan,Latin
Kumam,kdi,Unknown,360000,143164,words,0,Cluster 0,Indigenous,Nilo-Saharan,Latin
Tepo Krumen,ted,Unknown,71200,142365,words,0,Cluster 0,Indigenous,Niger-Congo,Latin
Northern Paiute,pao,Unknown,7500,142177,words,0,Cluster 0,Indigenous,Uto-Aztecan,Latin
Kankanaey,kne,Unknown,280000,142000,words,0,Cluster 0,Indigenous,Austronesian,Latin
Siona,snn,Unknown,3400,141892,words,0,Cluster 0,Indigenous,Tucanoan,Latin
Huambisa,hub,Unknown,12000,141729,words,0,Cluster 0,Indigenous,Jivaroan,Latin
Plains Cree,crk,Unknown,86900,141525,words,0,Cluster 0,Indigenous,Algic,Non-Latin
Awa (Papua New Guinea),awb,Unknown,3900,141150,words,0,Cluster 0,Indigenous,Trans-New Guinea,Latin
Sebat Bet Gurage,sgw,Unknown,1355000,141039,words,0,Cluster 0,Regional,Afro-Asiatic,Non-Latin
Barai,bbb,Unknown,3500,140669,words,0,Cluster 0,Indigenous,Trans-New Guinea,Latin
